File,P1,P2,P3
Class2_it2_example_0104,31,63,89
Class2_it2_example_0105,34,71,102
Class2_it2_example_0106,24,52,81
Class2_it2_example_0107,26,51,65
Class2_it2_example_0108,37,63,83
Class2_it2_example_0109,28,57,72
Class2_it2_example_0110,35,67,98
Class2_it2_example_0111,37,65,87
Class2_it2_example_0112,33,69,89
Class2_it2_example_0113,28,60,93
Class2_it2_example_0114,70,104,135
Class2_it2_example_0115,51,69,120
Class2_it2_example_0116,38,68,102
Class2_it2_example_0117,38,65,99
Class2_it2_example_0118,36,63,96
Class2_it2_example_0119,43,77,110
Class2_it2_example_0120,61,87,115
Class2_it2_example_0121,38,74,102
Class2_it2_example_0122,35,61,88
Class2_it2_example_0123,35,64,93
Class2_it2_example_0124,39,55,88
Class2_it2_example_0125,42,59,92
Class2_it2_example_0126,39,57,92
Class2_it2_example_0127,30,52,78
Class2_it2_example_0128,32,53,84
Class2_it2_example_0129,29,52,86
Class2_it2_example_0130,32,55,87
Class2_it2_example_0131,32,53,86
Class2_it2_example_0132,29,51,81
Class2_it2_example_0133,34,68,99
Class2_it2_example_0134,32,69,101
Class2_it2_example_0135,33,55,79
Class2_it2_example_0136,32,60,90
Class2_it2_example_0137,40,75,103
Class2_it2_example_0138,32,63,109
Class2_it2_example_0139,25,55,80
Class2_it2_example_0140,30,56,82
Class2_it2_example_0141,33,61,91
Class2_it2_example_0142,33,62,92
Class2_it2_example_0143,32,68,96
Class2_it2_example_0144,28,55,80
Class2_it2_example_0145,29,58,81
Class2_it2_example_0146,31,62,91
Class2_it2_example_0147,35,62,100
Class2_it2_example_0148,34,64,101
Class2_it2_example_0149,33,66,94
Class2_it2_example_0150,36,68,101
Class2_it2_example_0151,32,63,90
Class2_it2_example_0152,31,67,93
Class2_it2_example_0153,35,66,99
Class2_it2_example_0154,31,69,97
Class2_it2_example_0155,37,68,102
Class2_it2_example_0156,38,69,102
Class2_it2_example_0157,38,70,104
Class2_it2_example_0158,39,73,110
Class2_it2_example_0159,35,58,81
Class2_it2_example_0160,41,64,87
Class2_it2_example_0161,28,48,73
Class2_it2_example_0162,26,50,85
Class2_it2_example_0163,24,54,78
Class2_it2_example_0164,32,48,70
Class2_it2_example_0165,33,72,118
Class2_it2_example_0166,33,72,106
Class2_it2_example_0167,36,67,103
Class2_it2_example_0168,33,73,116
Class2_it2_example_0169,35,78,127
Class2_it2_example_0170,33,70,115
Class2_it2_example_0171,31,70,104
Class2_it2_example_0172,31,72,114
Class2_it2_example_0173,29,68,109
Class2_it2_example_0174,28,70,103
Class2_it2_example_0175,30,68,106
Class2_it2_example_0176,30,74,117
Class2_it2_example_0177,32,56,88
Class2_it2_example_0178,32,56,83
Class2_it2_example_0179,41,74,116
Class2_it2_example_0180,37,59,94
Class2_it2_example_0181,56,78,106
Class2_it2_example_0182,59,84,109
Class2_it2_example_0183,61,85,113
Class2_it2_example_0184,25,51,80
Class2_it2_example_0185,27,49,77
Class2_it2_example_0186,23,43,71
Class2_it2_example_0187,24,39,70
Class2_it2_example_0188,24,44,68
Class2_it2_example_0189,26,44,73
Class2_it2_example_0190,23,43,71
Class2_it2_example_0191,35,57,81
Class2_it2_example_0192,33,81,124
Class2_it2_example_0193,29,65,99
Class2_it2_example_0194,27,59,84
Class2_it2_example_0195,29,64,90
Class2_it2_example_0196,29,59,81
Class2_it2_example_0197,25,54,73
Class2_it2_example_0198,22,47,63
Class2_it2_example_0199,26,56,72
Class2_it2_example_0200,27,58,81
Class2_it2_example_0201,28,58,85
Class2_it2_example_0202,22,45,82
Class2_it2_example_0203,37,64,106
Class2_it2_example_0204,44,66,110
Class2_it2_example_0205,39,69,110
Class2_it2_example_0206,37,65,90
Class2_it2_example_0207,39,69,101
Class2_it2_example_0208,38,63,96
Class2_it2_example_0209,35,63,99
Class2_it2_example_0210,35,66,108
Class2_it2_example_0211,32,62,82
Class2_it2_example_0212,30,55,72
Class2_it2_example_0213,28,52,72
Class2_it2_example_0214,26,56,81
Class2_it2_example_0215,28,57,78
Class2_it2_example_0216,29,53,73
Class2_it2_example_0217,31,54,86
Class2_it2_example_0218,23,39,55
Class2_it2_example_0219,61,77,100
Class2_it2_example_0220,67,81,103
Class2_it2_example_0221,24,46,64
Class2_it2_example_0222,24,45,68
Class2_it2_example_0223,25,47,73
Class2_it2_example_0224,25,44,81
Class2_it2_example_0225,30,43,86
Class2_it2_example_0226,20,41,70
Class2_it2_example_0227,40,68,98
Class2_it2_example_0228,37,63,94
Class2_it2_example_0229,33,65,93
Class2_it2_example_0230,26,53,93
Class2_it2_example_0231,27,53,98
Class2_it2_example_0232,30,51,98
Class2_it2_example_0233,35,51,81
Class2_it2_example_0234,30,50,75
Class2_it2_example_0235,27,47,80
Class2_it2_example_0236,26,46,78
Class2_it2_example_0237,36,53,83
Class2_it2_example_0238,37,55,92
Class2_it2_example_0239,42,59,93
Class2_it2_example_0240,33,52,84
Class2_it2_example_0241,34,56,77
Class2_it2_example_0242,31,70,109
Class2_it2_example_0243,40,76,124
Class2_it2_example_0244,25,58,85
Class2_it2_example_0245,28,79,107
Class2_it2_example_0246,36,56,93
Class2_it2_example_0247,28,61,89
Class2_it2_example_0248,34,61,90
Class2_it2_example_0249,25,42,65
Class2_it2_example_0250,39,56,84
